Name,Last Name,City,Description,Type,Calories,Price
Candace,Kelley,Dalbeattie,Cows' milk,Milk,360,80
Igor,Burnett,Pettineo,Milk skim,Milk,260,70
Thor,Rhodes,Mundare,Buttermilk,Milk,127,20
Jaden,Howell,Baulers,"Evaporated, undiluted",Milk,345,30
Carissa,Kerr,Jaipur,Fortified milk,Milk,900,60
Burke,Dudley,Rostock,Powdered milk,Milk,515,50
Olympia,Wolfe,Cagnes-sur-Mer,"skim, instant",Milk,290,65
Sophia,Franks,Merseburg,"skim, non-instant",Milk,290,75
Britanney,Perez,Inuvik,Goats' milk,Milk,165,54
Malik,Hoffman,Gallodoro,(1/2 cup ice cream),Milk,690,150
Caryn,Lyons,San Piero Patti,Cocoa,Milk,235,250
MacKensie,Burch,Hastings,Cows' milk,Milk,360,80
Alfonso,Booker,Peutie,Milk skim,Milk,260,70
Baker,May,Lanark County,Buttermilk,Milk,127,20
Connor,Workman,Havr_,"Evaporated, undiluted",Milk,345,30
Alexa,Larsen,Mytishchi,Fortified milk,Milk,900,60
Rafael,Delaney,Bia_a Podlaska,Powdered milk,Milk,515,50
Garrison,Barry,Impe,"skim, instant",Milk,290,65
Daphne,Fleming,Kallo,"skim, non-instant",Milk,290,75
Emily,Chapman,Dallas,Goats' milk,Milk,165,54
Xander,Camacho,Castelluccio Inferiore,(1/2 cup ice cream),Milk,690,150
Sebastian,Murray,Coleville Lake,Cocoa,Milk,235,250
Marshall,Morales,Aisemont,Cows' milk,Milk,360,80
Ulla,Scott,Boninne,Milk skim,Milk,260,70
Aimee,Horton,Abohar,Buttermilk,Milk,127,20
Gretchen,Cleveland,Sint-Genesius-Rode,"Evaporated, undiluted",Milk,345,30
Xenos,Chambers,Ramara,Fortified milk,Milk,900,60
Zane,Cortez,Tongue,Powdered milk,Milk,515,50
Cullen,Dudley,Huaral,"skim, instant",Milk,290,65
Tanek,Oneal,Saint-Prime,"skim, non-instant",Milk,290,75
Jade,Goodman,Dehradun,Goats' milk,Milk,165,54
Malik,Skinner,Massenhoven,(1/2 cup ice cream),Milk,690,150
Mariam,Newton,Nuneaton,Cocoa,Milk,235,250
Felix,Guzman,Besançon,Cows' milk,Milk,360,80
Darius,Sandoval,Ely,Milk skim,Milk,260,70
Caryn,Mercer,Hoyerswerda,Buttermilk,Milk,127,20
Garth,Nielsen,Penticton,"Evaporated, undiluted",Milk,345,30
Brandon,Burke,R’o Hurtado,Fortified milk,Milk,900,60
Christopher,Gregory,Shangla,Powdered milk,Milk,515,50
Denton,Morton,Scandriglia,"skim, instant",Milk,290,65
Nyssa,King,Staraya Kupavna,"skim, non-instant",Milk,290,75
Calista,Clarke,Pescantina,Goats' milk,Milk,165,54
Geraldine,Sanders,Avelgem,(1/2 cup ice cream),Milk,690,150
Alea,Crane,Greifswald,Cocoa,Milk,235,250
