Employee ID,Name,Email,Department
10001,Albert Maro,amaro@company.com,Sales
10002,Anthony Dunn,adunn@company.com,Marketing
10003,Rich Harris,rharris@company.com,Engineering
10004,Glen Neal,gneal@company.com,Operations
10005,Kristine Arnold,karnold@company.com,Sales
10006,Tim Salazaar,tsalazaar@company.com,Marketing
10007,Belina Joseph,bjoseph@company.com,Engineering
10008,Emilio Welch,ewelch@company.com,Operations
10009,Garrett Reeves,greeves@company.com,Sales
10010,Gayle Fleming,gfleming@company.com,Marketing
10011,Elijah Burke,eburke@company.com,Engineering
10012,Karthik Patel,kpatel@company.com,Operations
10013,Laxman Sharma,lsharma@company.com,Sales
10014,Kamal Mullur,kmullur@company.com,Marketing
10015,Karan Mathur,Karanmathur@company.com,Sales
10001,Albert Maro,amaro@company.com,Sales
10002,Anthony Dunn,adunn@company.com,Marketing
10003,Rich Harris,rharris@company.com,Engineering
10004,Glen Neal,gneal@company.com,Operations
10005,Kristine Arnold,karnold@company.com,Sales
