Category,Cutomer,Description,Nutrient Data Bank Number,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Vitamins.Vitamin B12
Milk,amaro@company.com,"Milk, human",11000000,6.89,14,16,0,0,0,1.03,6.89,87.5,2.009,4.38,32,0.052,0.03,3,0.05
Milk,adunn@company.com,"Milk, NFS",11100000,4.87,8,17.9,0,0,0,3.34,4.89,89.04,1.164,1.99,126,0.001,0,12,0.56
Milk,rharris@company.com,"Milk, whole",11111000,4.67,12,17.8,0,0,0,3.28,4.81,88.1,1.86,3.2,123,0.001,0,12,0.54
Milk,gneal@company.com,"Milk, low sodium, whole",11111100,4.46,14,16,0,0,0,3.1,4.46,88.2,2.154,3.46,101,0.01,0.05,5,0.36
Milk,karnold@company.com,"Milk, calcium fortified, whole",11111150,4.67,12,17.8,0,0,0,3.28,4.81,88.1,1.86,3.2,123,0.001,0,12,0.54
Milk,tsalazaar@company.com,"Milk, calcium fortified, low fat (1%)",11111160,5.19,5,17.4,0,0,0,3.38,4.96,89.7,0.568,0.95,126,0.001,0,12,0.61
Milk,bjoseph@company.com,"Milk, calcium fortified, fat free (skim)",11111170,4.85,2,16,0,0,0,3.4,4.85,90.8,0.117,0.18,204,0.011,0.04,11,0.38
Milk,ewelch@company.com,"Milk, reduced fat (2%)",11112110,4.91,8,18.2,0,0,0,3.35,4.89,89.1,1.11,1.9,126,0.001,0,12,0.55
Milk,greeves@company.com,"Milk, acidophilus, low fat (1%)",11112120,5.19,5,17.4,0,0,0,3.38,4.96,89.7,0.568,0.95,126,0.001,0,12,0.61
Milk,gfleming@company.com,"Milk, acidophilus, reduced fat (2%)",11112130,4.91,8,18.2,0,0,0,3.35,4.89,89.1,1.11,1.9,126,0.001,0,12,0.55
Milk,eburke@company.com,"Milk, low fat (1%)",11112210,5.19,5,17.4,0,0,0,3.38,4.96,89.7,0.568,0.95,126,0.001,0,12,0.61
Milk,kpatel@company.com,"Milk, fat free (skim)",11113000,4.89,3,18.2,0,0,0,3.43,5.05,90.8,0.049,0.08,132,0.002,0,12,0.58
Milk,lsharma@company.com,"Milk, lactose free, low fat (1%)",11114300,5.19,5,17.4,0,0,0,3.38,4.96,89.7,0.568,0.95,126,0.001,0,12,0.61
Milk,kmullur@company.com,"Milk, lactose free, fat free (skim)",11114320,4.89,3,18.2,0,0,0,3.43,5.05,90.8,0.049,0.08,132,0.002,0,12,0.58
Milk,Karanmathur@company.com,"Milk, lactose free, reduced fat (2%)",11114330,4.91,8,18.2,0,0,0,3.35,4.89,89.1,1.11,1.9,126,0.001,0,12,0.55
Milk,amaro@company.com,"Milk, lactose free, whole",11114350,4.67,12,17.8,0,0,0,3.28,4.81,88.1,1.86,3.2,123,0.001,0,12,0.54
Buttermilk,adunn@company.com,"Buttermilk, fat free (skim)",11115000,4.79,4,17.7,0,0,0,3.31,4.79,90.13,0.66,1.07,116,0.011,0.05,11,0.22
Buttermilk,rharris@company.com,"Buttermilk, low fat (1%)",11115100,4.79,4,17.7,0,0,0,3.31,4.79,90.13,0.66,1.07,116,0.011,0.05,11,0.22
Buttermilk,gneal@company.com,"Buttermilk, reduced fat (2%)",11115200,5.3,8,16,0,0,0,4.1,5.3,87.7,1.242,2,143,0.008,0.06,13,0.37
Buttermilk,karnold@company.com,"Buttermilk, whole",11115300,4.88,11,14.6,0,0,0,3.21,4.88,87.91,1.899,3.31,115,0.025,0.03,10,0.46
Kefir,amaro@company.com,"Kefir, NS as to fat content",11115400,7.48,5,15.2,0,0,0,3.59,6.91,87.26,0.596,0.96,124,0.009,0.04,12,0.3
Goat's milk,adunn@company.com,"Goat's milk, whole",11116000,4.45,11,16,0,0,0,3.56,4.45,87.03,2.667,4.14,134,0.046,0.05,14,0.07
Milk,rharris@company.com,"Milk, dry, reconstituted, NS as to fat content",11120000,4.6,2,15,0,0,0,3.2,4.6,91.34,0.044,0.07,114,0.013,0.03,11,0.36
Milk,gneal@company.com,"Milk, dry, reconstituted, whole",11121100,5.86,15,18.2,0,0,0,4.01,5.86,85.04,2.554,4.08,142,0.021,0.07,14,0.5
Milk,karnold@company.com,"Milk, dry, reconstituted, low fat (1%)",11121210,4.55,4,15,0,0,0,3.17,4.55,90.48,0.633,1.01,113,0.013,0.03,11,0.35
Milk,tsalazaar@company.com,"Milk, dry, reconstituted, fat free (skim)",11121300,4.6,2,15,0,0,0,3.2,4.6,91.34,0.044,0.07,114,0.013,0.03,11,0.36
Milk,bjoseph@company.com,"Milk, evaporated, NS as to fat content",11210050,10.04,29,31.8,0,0,0,6.81,10.04,74.04,4.591,7.56,261,0.016,0.19,24,0.16
Milk,ewelch@company.com,"Milk, evaporated, whole",11211050,10.04,29,31.8,0,0,0,6.81,10.04,74.04,4.591,7.56,261,0.016,0.19,24,0.16
Milk,greeves@company.com,"Milk, evaporated, reduced fat (2%)",11211400,11.15,8,25.1,0,0,0,7.42,11.15,78,1.214,1.96,285,0.016,0.28,27,0.24
Milk,gfleming@company.com,"Milk, evaporated, fat free (skim)",11212050,11.35,4,25.2,0,0,0,7.55,11.35,79.4,0.121,0.2,290,0.016,0.29,27,0.24
Milk,eburke@company.com,"Milk, condensed, sweetened",11220000,54.4,34,89.1,0,0,0,7.91,54.4,27.16,5.486,8.7,284,0.015,0.19,26,0.44
Non-dairy milk,kpatel@company.com,"Non-dairy milk, NFS",11300100,3.75,0,9,0.2,0,0,1.04,3.03,93.33,0.237,1.17,164,0.062,0.32,8,0.29
Soy milk,lsharma@company.com,Soy milk,11320000,4.92,0,23.6,0.2,0,0,2.6,3.65,90.36,0.205,1.47,123,0.165,0.42,15,0.85
Soy milk,kmullur@company.com,"Soy milk, light",11320100,3.51,0,12.3,0.3,0,0,2.38,2.61,92.69,0.005,0.77,123,0.086,0.43,15,1
Soy milk,Karanmathur@company.com,"Soy milk, nonfat",11320200,4.14,0,17.9,0.2,0,0,2.47,3.65,92.67,0,0.04,116,0.125,0.35,10,0.23
Soy milk,amaro@company.com,"Soy milk, chocolate",11321000,9.95,0,23.6,0.4,0,0,2.26,7.86,85.61,0.24,1.53,126,0.206,0.48,15,0.7
Soy milk,adunn@company.com,"Soy milk, light, chocolate",11321100,8.24,0,28.4,0.7,0,0,2.1,7.13,88.38,0.032,0.64,123,0.199,0.59,15,1
Soy milk,rharris@company.com,"Soy milk, nonfat, chocolate",11321200,8.24,0,28.4,0.7,0,0,2.1,7.13,88.38,0.032,0.64,123,0.199,0.59,15,1
Almond milk,gneal@company.com,"Almond milk, sweetened",11350000,5.24,0,3,0.2,0,0,0.38,4.77,92.68,0.077,0.93,177,0.019,0.27,6,0
Almond milk,karnold@company.com,"Almond milk, sweetened, chocolate",11350010,8.34,0,2.9,0.3,0,0,0.43,7.72,89.52,0.098,0.95,171,0.03,0.3,7,0
Almond milk,amaro@company.com,"Almond milk, unsweetened",11350020,1.31,0,3.1,0.2,0,0,0.4,0.81,96.54,0.08,0.96,184,0.02,0.28,6,0
Almond milk,adunn@company.com,"Almond milk, unsweetened, chocolate",11350030,1.48,0,3.1,0.3,0,0,0.46,0.81,96.26,0.104,1,184,0.031,0.32,7,0
Rice milk,rharris@company.com,Rice milk,11360000,9.17,0,2.1,0.3,0,0,0.28,5.28,89.28,0,0.97,118,0.037,0.2,11,0.63
Coconut milk,gneal@company.com,Coconut milk,11370000,2.92,0,0,0,0,0,0.21,2.5,94.57,2.083,2.08,188,0,0.3,0,0.63
Yogurt,karnold@company.com,"Yogurt, NFS",11400000,7.04,6,15.2,0,0,0,5.25,7.04,85.06,1,1.55,183,0.013,0.08,17,0.56
Yogurt,tsalazaar@company.com,"Yogurt, Greek, NS as to type of milk or flavor",11400010,3.94,10,15.2,0,1,0,9.95,3.56,83.56,1.23,1.92,115,0.021,0.04,11,0.52
Yogurt,bjoseph@company.com,"Yogurt, NS as to type of milk or flavor",11410000,7.04,6,15.2,0,0,0,5.25,7.04,85.06,1,1.55,183,0.013,0.08,17,0.56
Yogurt,ewelch@company.com,"Yogurt, NS as to type of milk, plain",11411010,7.04,6,15.2,0,0,0,5.25,7.04,85.06,1,1.55,183,0.013,0.08,17,0.56
Yogurt,greeves@company.com,"Yogurt, whole milk, plain",11411100,4.66,13,15.2,0,0,0,3.47,4.66,87.89,2.096,3.25,121,0.009,0.05,12,0.37
Yogurt,gfleming@company.com,"Yogurt, low fat milk, plain",11411200,7.04,6,15.2,0,0,0,5.25,7.04,85.06,1,1.55,183,0.013,0.08,17,0.56
Yogurt,eburke@company.com,"Yogurt, nonfat milk, plain",11411300,7.68,2,15.2,0,0,0,5.73,7.68,85.22,0.116,0.18,199,0.015,0.09,19,0.61
Yogurt,kpatel@company.com,"Yogurt, Greek, NS as to type of milk, plain",11411390,3.94,10,15.2,0,1,0,9.95,3.56,83.56,1.23,1.92,115,0.021,0.04,11,0.52
Yogurt,lsharma@company.com,"Yogurt, Greek, whole milk, plain",11411400,3.98,13,15.1,0,0,0,9,4,81.3,2.395,5,100,0.017,0,11,0.75
Yogurt,kmullur@company.com,"Yogurt, Greek, low fat milk, plain",11411410,3.94,10,15.2,0,1,0,9.95,3.56,83.56,1.23,1.92,115,0.021,0.04,11,0.52
Yogurt,Karanmathur@company.com,"Yogurt, Greek, nonfat milk, plain",11411420,3.64,5,15.1,0,0,0,10.3,3.27,85,0.108,0.37,111,0.017,0.07,11,0.7
Yogurt,amaro@company.com,"Yogurt, NS as to type of milk, fruit",11430000,14.46,5,14.6,0.1,0,0,4.66,12.01,78.51,0.881,1.37,163,0.023,0.13,15,0.49
Yogurt,adunn@company.com,"Yogurt, whole milk, fruit",11431000,12.36,11,14.6,0.1,0,0,3.1,9.92,81,1.845,2.87,109,0.02,0.1,11,0.33
Yogurt,rharris@company.com,"Yogurt, low fat milk, fruit",11432000,14.46,5,14.6,0.1,0,0,4.66,12.01,78.51,0.881,1.37,163,0.023,0.13,15,0.49
Yogurt,gneal@company.com,"Yogurt, nonfat milk, fruit",11433000,15.02,2,14.6,0.1,0,0,5.09,12.58,78.65,0.103,0.17,177,0.025,0.14,17,0.54
Yogurt,karnold@company.com,"Yogurt, Greek, NS as to type of milk, fruit",11433990,12.29,12,14,1,7,0,8.17,11.23,76.41,1.599,2.57,88,0.019,0.07,10,0.5
Yogurt,amaro@company.com,"Yogurt, Greek, whole milk, fruit",11434000,12.29,10,14.3,0,7,0,7.33,12,76.81,1.599,3,100,0.019,0,10,0.5
Yogurt,adunn@company.com,"Yogurt, Greek, low fat milk, fruit",11434010,12.29,12,14,1,7,0,8.17,11.23,76.41,1.599,2.57,88,0.019,0.07,10,0.5
Yogurt,rharris@company.com,"Yogurt, Greek, nonfat milk, fruit",11434020,12.2,4,14,0.6,4,0,8.06,11.5,79,0.103,0.15,97,0.02,0.09,10,0.45
Yogurt,gneal@company.com,"Yogurt, NS as to type of milk, flavors other than fruit",11434090,9.82,6,14.7,0,0,0,5.09,9.82,82.51,0.97,1.51,178,0.013,0.08,16,0.54
Yogurt,karnold@company.com,"Yogurt, whole milk, flavors other than fruit",11434100,9.41,12,14.4,0,0,0,3.3,9.42,83.5,1.991,3.1,115,0.009,0.05,11,0.35
Yogurt,tsalazaar@company.com,"Yogurt, low fat milk, flavors other than fruit",11434200,9.82,6,14.7,0,0,0,5.09,9.82,82.51,0.97,1.51,178,0.013,0.08,16,0.54
Yogurt,bjoseph@company.com,"Yogurt, nonfat milk, flavors other than fruit",11434300,10.44,2,14.7,0,0,0,5.56,10.44,82.66,0.113,0.18,193,0.015,0.09,18,0.59
